,지역,시설구분,기관명,소재지,연락처,홈페이지,위도,경도
51,강남구,공동생활가정,성모자애엠마우스공동생활가정1호,강남구 헌릉로757길 35 성모자애엠마우스공동생활가정1호,02-3410-8815,,37.4705425,127.1194354
52,강남구,공동생활가정,성모자애엠마우스공동생활가정3호,강남구 헌릉로757길 35 성모자애엠마우스공동생활가정3호,02-3410-8813,,37.4705425,127.1194354
53,도봉구,공동생활가정,성민그룹홈,도봉구 덕릉로60길 7-23 101호 성민그룹홈,070-8843-8033,,37.6406575,127.0406262
54,성북구,공동생활가정,성북그룹홈1호,성북구 개운사길 60-39 성북그룹홈1호,02-941-6236,,37.5902309,127.0302649
55,성북구,공동생활가정,성북그룹홈2호,성북구 보국문로6길 5-11 삼우빌라 102호 (정릉동) 성북그룹홈2호,02-941-6237,,37.6065009,127.0114144
56,도봉구,공동생활가정,동천하우스 4,도봉구 도봉로137길 46 2012호 세움터1호,02-905-9571,,37.6609925,127.0400593
57,동작구,공동생활가정,소라네그룹홈,동작구 사당로2길 32 소라네그룹홈,02-587-9016,,37.4926044,126.9626064
58,강동구,공동생활가정,소망공동생활가정,강동구 양재대로 91 나길 37 301호 소망공동생활가정,02-428-4547,,37.5269827,127.1320069
59,강남구,공동생활가정,소망그룹홈1호,강남구 언주로 157길 22 영빈빌라 나동 101호 소망그룹홈1호,02-3445-8482,,37.5241543,127.0310873
60,강남구,공동생활가정,소망그룹홈3호,강남구 언주로 157길 22 영빈빌라 가동 201호 소망그룹홈3호,070-4493-3044,,37.5241543,127.0310873
61,강남구,공동생활가정,소망그룹홈4호,강남구 언주로 157길 22 영빈빌라 가동 202호 소망그룹홈4호,070-4493-3045,,37.5241543,127.0310873
62,송파구,공동생활가정,소망의집,송파구 백제고분로32길 32-1 201호 소망의집,02-443-6091,,37.4995679,127.0944323
63,강북구,공동생활가정,소망의집,강북구 인수봉로64길 30 302호 소망의집,02-902-8335,,37.6396645,127.0145703
64,성동구,공동생활가정,소망의집,성동구 금호9가길 57-10 3층 소망의집,02-2252-2036,,NaN,NaN
65,송파구,공동생활가정,송파공동생활가정,송파구 토성로5길 16-1 201호 송파공동생활가정,02-422-4548,,37.5319077,127.1140688
66,은평구,공동생활가정,시온공동생활가정,은평구 갈현로15길 24-5 301호 시온공동생활가정,070-4244-2046,,37.6082389,126.9081067
67,구로구,공동생활가정,신나는집(구 제5샬롬),구로구 경인로47길 150(경남1차 아파트 101-707) 신나는집(구 제5샬롬),02-2625-1865,,37.5053356,126.8624477
68,강남구,공동생활가정,신망애,강남구 도산대로50길 33-3 401호 신망애,02-547-4186,,37.5202452,127.03806
69,관악구,공동생활가정,실로암배움울타리1_배움울타리,관악구 조원로12길 66 301호 실로암배움울타리1_배움울타리,070-4156-0500,,37.4815135,126.9061432
70,관악구,공동생활가정,실로암배움울타리2_희망둥지,"관악구 남부순환로 172길 118 201호,202호 실로암배움울타리2_희망둥지",070-4156-0500,,37.4821739,126.9193358
71,노원구,공동생활가정,아름다운집,노원구 공릉로62길 8 풍진빌라 B동 302호 아름다운집,02-948-4519,,37.6355682,127.0721897
72,서대문구,공동생활가정,아이티그룹홈,서대문구 연희로 41길 61 (홍은동 현영빌라 가동 302호) 아이티그룹홈,070-8820-0862,,37.5913016,126.9350265
73,동작구,공동생활가정,연희네그룹홈,동작구 사당로2길 32 연희네그룹홈,02-587-9015,,37.4926044,126.9626064
74,강서구,공동생활가정,열린마음,강서구 초록마을로34길 61 201호 열린마음,070-8182-2897,,37.5384108,126.8450022
75,강서구,공동생활가정,열린마음하나,강서구 초록마을로16길 20 201호 열린마음하나,02-2604-7328,,37.5411861,126.8495619
76,관악구,재활체육시설,SRC재활체육관,경기 광주시 초월읍 경수길 25 (지월리729-6),031-799-3893,http://sports.samyook.org/,37.4200418,127.2871428
77,은평구,주간보호시설,위드주간보호센터,은평구 갈현로15길 11-13 (구산동 177-134),02-385-5841,http://withloveclub.cyworld.com,37.6067721,126.9093629
78,강남구,공동생활가정,오틸리아,강남구 학동로26길 15 원하우스 401호 오틸리아,02-3461-0811,,37.51244,127.0298518
79,양천구,공동생활가정,예은장애인공동생활가정,양천구  가로공원로56길 27-1 2층 예은장애인공동생활가정,02-2646-5403,,37.5350071,126.8258516
80,구로구,공동생활가정,오뚜기하우스1호,구로구 부일로 871-16 디아빌2차 101동 202호 오뚜기하우스1호,070-8881-4415,,37.4932322,126.8234643
81,구로구,공동생활가정,오뚜기하우스2호,구로구 부일로 871-16 디아빌2차 101동 302호 오뚜기하우스2호,070-8881-4415,,37.4932322,126.8234643
82,구로구,공동생활가정,온수그룹홈,구로구 부일로 871-16 디아이빌2차 101동 602호 온수그룹홈,02-2668-6334,,37.4932322,126.8234643
83,강북구,공동생활가정,우리엄마네공동생활가정,강북구 인수봉로 61길 38 일우하이츠빌라 201호 우리엄마네공동생활가정,02-995-8070,,37.6380411,127.0116949
84,관악구,공동생활가정,임마누엘관악공동체,"관악구 신림로30길 17-13, 301호 임마누엘관악공동체",02-877-3831,,37.4730771,126.9363985
85,노원구,단기보호시설,동천학원,노원구 노원로18길 8-1 (하계1동 288-1),02-948-0308,http://www.happydongchun.org,NaN,NaN
86,서초구,단기보호시설,신망애의 집,서초구 남부순환로342길 56-58 (양재1동 177-2),02-577-4186,http://www.fhlove.net,37.4790269,127.0243471
87,성북구,수화통역센터,성북수화통역센터,서울특별시 성북구 동소문로 185 2층,02-922-7892,http://www.sb-deaf.com,37.5986327,127.0215295
88,송파구,주간보호시설,마라주간보호,송파구 송이로34길 43-1 (문정동 93-4),02-3401-6008,,37.4845267,127.1288722
89,구로구,공동생활가정,임마누엘구로공동체,구로구 오리로22가길 38-4 호수빌라트3차 201호 임마누엘구로공동체,02-2066-3831,,37.5005671,126.8299465
90,금천구,공동생활가정,임마누엘독산공동체,금천구 시흥대로118길 44 정우파크텔 302호 임마누엘독산공동체,070-8956-3831,,37.4681785,126.9012205
91,은평구,공동생활가정,위드그룹홈,은평구 갈현로23길 32-6 아름빌202호 위드그룹홈,02-384-5841,,37.6181298,126.9114732
92,강서구,공동생활가정,임마누엘등촌1공동체,강서구 화곡로66길 145-15 원상하이츠빌 A동 201호 임마누엘등촌1공동체,02-2659-3841,,37.5554626,126.8615733
93,도봉구,공동생활가정,유일그룹홈,도봉구 도봉로 133길 14 성원하이츠 A동 301호 유일그룹홈,02-991-3490,,37.6575777,127.0389051
94,강서구,공동생활가정,임마누엘등촌공동체,"강서구 공항대로39길 74, 등촌주공5단지 502동 902호 임마누엘등촌공동체",02-2658-3994,,37.5608467,126.8448416
95,은평구,공동생활가정,은평천사원공동생활가정,은평구 증산로19길 28-8 201호 은평천사원공동생활가정,070-4130-2046,,37.5956697,126.911858
96,양천구,공동생활가정,임마누엘목동공동체,양천구 목동중앙본로17길 29 청송하이츠빌라 401호 임마누엘목동공동체,02-2646-3831,,37.5417106,126.8675484
97,금천구,공동생활가정,임마누엘시흥공동체,금천구 독산로 50마길 19-10 성은빌라 201호 임마누엘시흥공동체,02-808-3831,,37.4612914,126.9119509
98,강서구,공동생활가정,은하수,강서구 까치산로18길 24-12 은하수,02-2697-2532,,37.5465861,126.8498069
99,중랑구,공동생활가정,이수경하우스,중랑구 공릉로2나길 13 3층 이수경하우스,02-3296-2101,,37.6127109,127.079384
100,관악구,공동생활가정,임마누엘 미성공동체,관악구 난우16길 59 301호 임마누엘 미성공동체,02-866-3831,,37.4774836,126.920052
101,구로구,공동생활가정,임마누엘개봉공동체,구로구 고척로16가길 35 선경빌라 102호 임마누엘개봉공동체,02-2656-3831,,37.499445,126.8448977
102,관악구,공동생활가정,임마누엘관악1공동체,관악구 조원 중앙로 44-3 201호 임마누엘관악1공동체,02-858-3831,,37.4829099,126.9073876
103,동작구,공동생활가정,임마누엘신대방공동체,동작구 신대방13길 14-1 하나빌라 201호 임마누엘신대방공동체,02-848-3834,,37.4889335,126.9091096
104,은평구,공동생활가정,임마누엘신사공동체,"은평구 갈현로2가길 13 A동 402호(신사동, 엔에스빌라) 임마누엘신사공동체",02-6414-9998,,37.5993012,126.9111363
105,양천구,공동생활가정,임마누엘신월공동체,"양천구 오목로11길 9 나동 501호(신월, 우정쉐르빌) 임마누엘신월공동체",02-2696-3830,,37.5236686,126.8446212
106,양천구,공동생활가정,임마누엘신정공동체,양천구 오목로 148-34 301호(오성이지빌) 임마누엘신정공동체,02-2601-3831,,37.5238556,126.85421
107,은평구,공동생활가정,임마누엘역촌공동체,은평구 진흥로1길 13-19 임창에버빌 202호 임마누엘역촌공동체,02-352-9802,,37.6013659,126.9173817
108,강북구,복지관,강북장애인종합복지관,강북구 오현로 189 (번2동 306-12),02-989-4215,www.gangbukrc.or.kr,37.6287771,127.039094
109,노원구,복지관,서울시립북부장애인종합복지관,노원구 덕릉로70가길 92 (상계동 771),02-2092-1700,www.internet.or.kr,37.6425386,127.0569904
110,은평구,단기보호시설,포도원복지센터,은평구 갈현로41길 48 (갈현동 285-334),02-386-4020,,37.6263777,126.9131802
111,은평구,주간보호시설,사랑의 집,은평구 진흥로1길 8-6 (역촌동 42-3),070-8632-3378,,37.6011586,126.9191481
112,광진구,주간보호시설,하나인주간보호센터,광진구 능동로59길 14 (중곡동 169-119),02-498-5828,,37.5689839,127.0849395
113,마포구,수화통역센터,마포구수화통역센터,"마포구 월드컵북로15안길 26 2층 (성산동, 성서제1경로당 2층)",02-707-1062,http://www.mapodeaf.com,37.5627521,126.9109429
114,서대문구,수화통역센터,서대문구 수화통역센터,서대문구 홍제동 453-1 무악청구아파트상가B-101호(통일로 344),02-395-0490,,37.5813057,126.9515426
115,노원구,주간보호시설,성민,노원구 노원로32길 30 (상계2동 321-9) 순복음비전센터 내 5층,02-3391-4240,http://www.sungminwelfare.or.kr,37.6556625,127.0693562
116,노원구,주간보호시설,장애우 가족지원센터,노원구 상계로23길 4 (상계동 389-583) 2층,02-521-5471,,37.6585674,127.0692888
117,마포구,주간보호시설,하나렘넌트,마포구 월드컵로13길 19-13 (망원동 379-37호) 1층,02-323-1004,,37.5552637,126.9094496
118,마포구,복지관,마포장애인종합복지관,마포구 월드컵로 213 (성산2동 595-1),02-306-6212,www.mapowelfare.or.kr,37.5653964,126.9008276
119,서초구,주간보호시설,바우뫼,서초구 바우뫼로 43 (우면동 68-1),02-577-7851,,37.4717617,127.0269015
120,강동구,주간보호시설,메타아카데미 주간보호,강동구 양재대로121길 25 (천호동 52-5) 202호,02-471-4032,,37.5425561,127.1400594
121,강동구,공동생활가정,잎새그룹홈,강동구 양재대로135길 5-1 101호 잎새그룹홈,02-482-3832,,37.5483968,127.1431493
122,영등포구,공동생활가정,임마누엘영등포공동체,영등포구 영신로8길 9 201호 임마누엘영등포공동체,02-841-3831,,37.5134144,126.9099295
123,노원구,주간보호시설,북부장애인,노원구 동일로245길 56 (상계1동 1257) 북부종합사회복지관 내,02-934-7711,,37.679664,127.0526341
124,서초구,복지관,서초구립 한우리정보문화센터,서초구 서초동 380(남부순환로 340길 15),02-2055-0909,www.shc.or.kr,37.4820863,127.0249036
125,종로구,공동생활가정,임마누엘혜화공동체,종로구 혜화로12길 20-10 201호 임마누엘혜화공동체,02-765-3831,,37.5896733,127.0004567
126,강서구,공동생활가정,임마누엘화곡1공동체,"강서구 등촌로13다길 22-7, 201호(화곡동) 임마누엘화곡1공동체",02-2645-2913,,37.535552,126.859171
127,강서구,공동생활가정,임마누엘화곡2공동체,강서구 가로공원로72길 32 201호 임마누엘화곡2공동체,02-2606-3831,,37.5353262,126.8355177
128,강서구,공동생활가정,임마누엘화곡공동체,"강서구 강서로10길 108 301호(화곡동, 소망빌라) 임마누엘화곡공동체",02-2698-2068,,37.5306962,126.8539622
129,강동구,수화통역센터,강동구수화통역센터,서울특별시 강동구 성내로 22 청해빌딩302호,02-488-3754,http://cafe.naver.com/gddeaf,37.529605,127.1228336
130,광진구,수화통역센터,광진구수화통역센터,서울특별시 광진구 긴고랑로 72 3층,02-454-3888,,37.5613787,127.0836672
131,송파구,주간보호시설,렘넌트,송파구 충민로2길 5 (장지동 214-2),02-951-9904,,37.479374,127.127231
132,강남구,단기보호시설,밀알단기보호시설,강남구 밤고개로1길 38 (수서동 717-1),02-3414-0314,,37.4888999,127.1039991
133,송파구,복지관,서울시각장애인복지관,송파구 삼학사로19길 27 (삼전동),02-422-8108,www.bokji.or.kr,37.5061289,127.094084
134,관악구,공동생활가정,갑을충의장애인공동생활가정,관악구 난우16길 13-3 102호 갑을충의장애인공동생활가정,02-856-5934,,37.4775821,126.9176946
135,성동구,주간보호시설,성동장애인종합복지관,성동구 청계천로 516 (마장동 527-2),02-2290-3141,http://www.omni.or.kr/hub,37.5707413,127.0341871
136,중랑구,주간보호시설,원광장애인주간보호,중랑구 신래로 56 (신내1동 572-2),02-438-2691,http://www.wwcd.or.kr,NaN,NaN
137,노원구,수화통역센터,노원수화통역센터,노원구 한글비석로 383 (중계4동 584-1) 삼창타워프라자 2층,02-931-6107,http://cafe.naver.com/nwdeaf,37.6589524,127.0725471
138,노원구,주간보호시설,다운,노원구 화랑로 478 (공릉동 656-3) 다운복지관 내,02-3296-2114,http://www.down.or.kr,37.6189464,127.0803288
139,노원구,주간보호시설,섬김주간보호센터,노원구 덕릉로70가길 92 (상계동 771) 북부장애인종합복지관 내,02-2092-1774,http://www.internet.or.kr,37.6425386,127.0569904
140,노원구,단기보호시설,사랑샘 단기보호소,노원구 중계로 163 (중계본동 308-1),02-932-4635,http://www.sarangsam.or.kr,37.6497867,127.0800592
141,노원구,복지관,서울시립상이군경복지관,노원구 덕릉로70가길 73 (상계동 771),02-935-6375,www.kdvowelfare.or.kr,37.6428232,127.0576748
142,서초구,단기보호시설,사랑단기보호센터,"서초구 사평대로22길 49, 삼부반포빌라 102호 (반포4동 96-9)",02-536-7706,http://esarang.planetd.co.kr,37.4973147,126.997804
143,노원구,주간보호시설,베데스다 주간보호소,노원구 공릉로58마길 27 (하계동 65-37) 나눔아트센터 2층,02-3391-2126,http://www.btsd.kr,37.6364292,127.0776453
144,강동구,단기보호시설,강동단기보호시설,강동구 성내로3가길 89 (성내동 532-13) 2층,02-428-4548,http://cafe.daum.net/gangdongdangi,37.5291992,127.1273309
145,노원구,주간보호시설,가브리엘 주간보호센터,서울특별시 노원구 한글비석로24라길 94-13 가브리엘주간보호센터,02-951-9907,www.gabrielcenter.or.kr,37.6664592,127.0697787
146,노원구,복지관,시립노원시각장애인복지관,노원구 덕릉로70가길 98 (상계동 771),02-950-0114,www.nowonblind.or.kr,37.6420726,127.0565136
147,노원구,주간보호시설,오뚜기뇌성마비,노원구 덕릉로70가길 96 (상계동 771) 뇌성마비복지관 내,02-932-4412,http://www.kscp.net,37.6424451,127.0566038
148,노원구,주간보호시설,중계주간,노원구 덕릉로 662 (중계4동 당고개길 228),02-952-0333,http://www.junggye.or.kr,37.656936,127.0762093
149,동작구,복지관,삼성소리샘복지관,동작구 양녕로30길 19-4 (상도동 212-128),02-824-1414,www.sorisaem.net,37.4992438,126.946014
150,강동구,공동생활가정,강동행복의집,강동구 양재대로135길 5-1 301호(천호동) 강동행복의집,02-488-5503,,37.5483968,127.1431493
151,금천구,공동생활가정,관음의 집,"금천구 독산로14길 13, 201호 관음의 집",02-806-1372,,37.4523725,126.9076225
152,강서구,공동생활가정,교남공동생활가정1호,강서구 까치산로16길 21 301호(화곡동) 교남공동생활가정1호,02-2608-9045,,37.5456264,126.8487871
153,강남구,공동생활가정,강남행복의집,강남구 논현로117길 12-4 현대로얄빌라 401호(논현동) 강남행복의집,070-8779-5501,,37.5099001,127.0314237
154,강서구,공동생활가정,교남공동생활가정2호,구로구 가마산로20나길 8-1 101호 교남공동생활가정2호,02-2602-3384,,37.4928054,126.8866424
155,강서구,공동생활가정,교남공동생활가정3호,강서구 까치산로16길 9 정빌라 301호(화곡동) 교남공동생활가정3호,02-2697-3885,,37.546396,126.8487571
156,강서구,공동생활가정,교남공동생활가정4호,강서구 까치산로8길 44 301호(화곡동) 교남공동생활가정4호,02-2698-3880,,37.5416188,126.8463181
157,강서구,공동생활가정,교남공동생활가정5호,강서구 화곡로31길 5-6 201호 교남공동생활가정5호,02-2698-9461,,37.5436413,126.8426147
158,강동구,공동생활가정,강동공동생활가정,강동구 양재대로 1414-8 301호 강동공동생활가정,02-442-4548,,37.5320763,127.1386019
159,강서구,공동생활가정,교남공동생활가정6호,강서구 초록마을로8길 18-6 201호 교남공동생활가정6호,02-2606-4819,,37.5419566,126.8478308
160,서대문구,공동생활가정,구립서대문장애인공동생활가정,서대문구 연희로36길 26 동진빌라 9동 106호 구립서대문장애인공동생활가정,02-322-7297,,37.5774715,126.9366383
161,광진구,공동생활가정,구의작은예수의집,광진구 자양로23나길 7-8 구의작은예수의집,02-447-8293,,37.5420045,127.0823144
162,노원구,공동생활가정,그루터기공동생활가정,"노원구 동일로191가길 26, 남청파인힐A 101동 203호 그루터기공동생활가정",02-975-7075,,37.626273,127.07135
163,성동구,공동생활가정,기쁨의집,"성동구 무수막14길 10, 대우빌라 202호 기쁨의집",02-2282-5881,,37.5525468,127.0214089
164,송파구,공동생활가정,나눔의집,"송파구 송이로31길 56 9동 105호(문정동, 문정시영아파트) 나눔의집",02-3401-1084,,37.4916693,127.1364537
165,영등포구,수화통역센터,영등포수화통역센터,서울특별시 영등포구 당산로 67 재원빌딩5층,02-6404-4291,http://cafe.daum.net/yddeaf,37.5209146,126.8952047
166,노원구,주간보호시설,평화장애인,노원구 노원로 331 (중계3동 514-3) 평화종합사회복지관 내,02-949-0123,http://www.pyunghwa.or.kr,37.6462647,127.0690269
167,노원구,주간보호시설,노원1장애인,노원구 월계로 372 (월계4동 321) 노원1종합사회복지관 내,02-949-0700,http://www.nowon.or.kr,37.6299237,127.0604
168,노원구,주간보호시설,동천,노원구 노원로18길 41 (하계1동 288-1),02-976-0563,http://www.happydongchun.org,37.6445781,127.0728729
169,강동구,단기보호시설,아이비단기보호,강동구 구천면로39길 12 (천호동 295-24) 2층,02-472-3832,http://www.ibe.or.kr/,37.54553,127.132623
170,강동구,단기보호시설,성분도단기보호시설,경기 광주시 도척면 국사봉로 159-10 (진우리 661),031-799-0336,http://www.bundoreh.com,37.3167174,127.3506713
171,은평구,주간보호시설,서부장애인종합복지관,은평구 갈현로11길 30 (구산동 191-1),02-351-3982,http://www.openlife.or.kr,37.6051727,126.9075445
172,강서구,주간보호시설,기쁜우리,강서구 허준로 65 (가양동 1466),02-3665-3831,http://www.gibbun.or.kr,37.5693631,126.8487793
173,관악구,공동생활가정,꽃가람,관악구 국회단지21길 13(봉천동) 301호 꽃가람,02-871-2843,,37.490114,126.9414778
174,성동구,수화통역센터,성동구수화통역센터,성동구 청계천로 516 (마장동 527-2) 성동장애인생활회관 3층,02-2299-3338,http://club.cyworld.com/sddeaf,37.5707413,127.0341871
175,금천구,주간보호시설,청락원,금천구 금하로29길 36 (시흥2동 241-7),02-806-1374,http://happylog.naver.com/chungdam2.do,37.4512664,126.9140559
176,영등포구,주간보호시설,영등포주간보호센터,영등포구 신길로 55 (신길5동 440-57) 장애인사랑나눔의 집 3층,02-848-2902,http://kappd-ydp.or.kr,37.497556,126.907995
177,관악구,공동생활가정,꽃새암,관악구 봉천로13길 29-28 201호 꽃새암,02-872-2843,,37.4905173,126.9304243
178,강서구,공동생활가정,나눔공동체,강서구 등촌로13바길 59 301호 나눔공동체,02-6405-0302,,37.5353554,126.8567718
179,마포구,주간보호시설,우리마포장애인주간이용(보호)센터,마포구 신촌로 26길 10 (노고산동 1-50) 우리마포복지관,02-359-1000,http://club.cyworld.com/woorimapodaycare,37.5558486,126.9423536
180,송파구,주간보호시설,송파주간보호,송파구 중대로 245 (오금동 49-4) 2층,02-3401-4163,http://cafe.daum.net/spcare,37.5033935,127.129113
181,양천구,주간보호시설,맑은샘 주간보호,양천구 신월동 601-5 201호,02-2692-2448,,37.5195908,126.844256
182,영등포구,주간보호시설,새생명장애인,영등포구 가마산로 440 (신길3동 349-2),02-848-6970,,37.5049403,126.9095349
183,노원구,공동생활가정,나눔의집 공동생활가정,노원구 동일로191가길 66 길성A 101동 305호 나눔의집 공동생활가정,02-948-0320,,37.6279817,127.0710031
184,은평구,단기보호시설,불광작은예수의집,은평구 연서로37길 21-5 (불광2동 436-34),02-355-0877,,37.623364,126.9261632
